Station,Lat,Lon,UTM_X,UTM_Y,Elev,File
579,-19.977027777777774,140.57938888888887,455995.1948250417,7791005.612125007,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\579.edi
581R,-19.976555555555557,140.61880555555555,460118.9412152388,7791067.727273967,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\581R.edi
582,-19.977666666666664,140.63688888888888,462011.1293412061,7790948.968400547,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\582.edi
583,-19.97522222222222,140.655,463905.3847461099,7791223.474136442,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\583.edi
584,-19.976777777777777,140.6738611111111,465879.0249662187,7791055.282819355,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\584.edi
585 QC,-19.97733333333333,140.6941111111111,467997.7282976722,7790997.796634885,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\585 QC.edi
585,-19.977166666666665,140.69400000000002,467986.0700509634,7791016.218917912,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\585.edi
586,-19.97705,140.71308333333332,469982.57269855286,7791032.658700243,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\586.edi
587,-19.977016388888888,140.7322388888889,471986.64637442434,7791039.69233758,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\587.edi
588,-19.9776,140.7521361111111,474068.4134761307,7790978.309769321,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\588.edi
589,-19.97744944444444,140.76559444444445,475476.4108681697,7790996.994887542,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\589.edi
595,-19.958805555555557,140.4273611111111,440082.6413124356,7792975.051484009,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\595.edi
596,-19.957916666666662,140.4453611111111,441965.7700770048,7793079.743738092,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\596.edi
597,-19.95875,140.4661111111111,444137.2737737401,7792994.564467016,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\597.edi
598,-19.95883333333333,140.48391666666666,446000.4014126247,7792991.1698245555,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\598.edi
599,-19.95875,140.50308333333334,448005.8888516512,7793006.443558805,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\599.edi
600,-19.958805555555557,140.52200000000002,449985.2588450862,7793006.043955946,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\600.edi
601R,-19.959166666666665,140.54111111111112,451985.0613753476,7792971.66345791,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\601R.edi
602R,-19.958944444444445,140.5603888888889,454002.12066185503,7793001.653942277,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\602R.edi
603,-19.958694444444443,140.57688888888887,455728.5220059356,7793033.756319445,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\603.edi
604,-19.95911111111111,140.5986388888889,458004.4343228095,7792993.236605229,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\604.edi
605,-19.95808333333333,140.61791666666667,460021.2883492381,7793111.679439932,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\605.edi
606,-19.96022222222222,140.63658333333333,461974.9800018488,7792879.324710463,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\606.edi
607,-19.95908333333333,140.65583333333333,463988.9071928831,7793009.601076098,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\607.edi
608,-19.959055555555555,140.67433333333332,465924.6230144892,7793016.537420239,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\608.edi
609,-19.95808333333333,140.69591666666668,468182.76713263226,7793128.3607052835,0.0,G:\博士所有材料\电磁ai\第十六篇开创性工作天马行空\Geo-Buddy-Official\Experiment_Data_Full\609.edi
